"תחנה","תאריך ושעה (שעון קיץ)","קרינה גלובלית (וואט/מ""ר)"
"בית דגן קרינה","04/05/2023 01:30","0"
"בית דגן קרינה","04/05/2023 01:40","0"
"בית דגן קרינה","04/05/2023 01:50","0"
"בית דגן קרינה","04/05/2023 02:00","0"
"בית דגן קרינה","04/05/2023 02:10","0"
"בית דגן קרינה","04/05/2023 02:20","0"
"בית דגן קרינה","04/05/2023 02:30","0"
"בית דגן קרינה","04/05/2023 02:40","0"
"בית דגן קרינה","04/05/2023 02:50","0"
"בית דגן קרינה","04/05/2023 03:00","0"
"בית דגן קרינה","04/05/2023 03:10","0"
"בית דגן קרינה","04/05/2023 03:20","0"
"בית דגן קרינה","04/05/2023 03:30","0"
"בית דגן קרינה","04/05/2023 03:40","0"
"בית דגן קרינה","04/05/2023 03:50","0"
"בית דגן קרינה","04/05/2023 04:00","0"
"בית דגן קרינה","04/05/2023 04:10","0"
"בית דגן קרינה","04/05/2023 04:20","0"
"בית דגן קרינה","04/05/2023 04:30","0"
"בית דגן קרינה","04/05/2023 04:40","0"
"בית דגן קרינה","04/05/2023 04:50","0"
"בית דגן קרינה","04/05/2023 05:00","0"
"בית דגן קרינה","04/05/2023 05:10","0"
"בית דגן קרינה","04/05/2023 05:20","0"
"בית דגן קרינה","04/05/2023 05:30","0"
"בית דגן קרינה","04/05/2023 05:40","0"
"בית דגן קרינה","04/05/2023 05:50","0"
"בית דגן קרינה","04/05/2023 06:00","5"
"בית דגן קרינה","04/05/2023 06:10","14"
"בית דגן קרינה","04/05/2023 06:20","25"
"בית דגן קרינה","04/05/2023 06:30","36"
"בית דגן קרינה","04/05/2023 06:40","48"
"בית דגן קרינה","04/05/2023 06:50","98"
"בית דגן קרינה","04/05/2023 07:00","127"
"בית דגן קרינה","04/05/2023 07:10","163"
"בית דגן קרינה","04/05/2023 07:20","212"
"בית דגן קרינה","04/05/2023 07:30","254"
"בית דגן קרינה","04/05/2023 07:40","290"
"בית דגן קרינה","04/05/2023 07:50","329"
"בית דגן קרינה","04/05/2023 08:00","365"
"בית דגן קרינה","04/05/2023 08:10","401"
"בית דגן קרינה","04/05/2023 08:20","436"
"בית דגן קרינה","04/05/2023 08:30","471"
"בית דגן קרינה","04/05/2023 08:40","506"
"בית דגן קרינה","04/05/2023 08:50","543"
"בית דגן קרינה","04/05/2023 09:00","577"
"בית דגן קרינה","04/05/2023 09:10","610"
"בית דגן קרינה","04/05/2023 09:20","643"
"בית דגן קרינה","04/05/2023 09:30","672"
"בית דגן קרינה","04/05/2023 09:40","703"
"בית דגן קרינה","04/05/2023 09:50","731"
"בית דגן קרינה","04/05/2023 10:00","757"
"בית דגן קרינה","04/05/2023 10:10","786"
"בית דגן קרינה","04/05/2023 10:20","811"
"בית דגן קרינה","04/05/2023 10:30","835"
"בית דגן קרינה","04/05/2023 10:40","859"
"בית דגן קרינה","04/05/2023 10:50","877"
"בית דגן קרינה","04/05/2023 11:00","893"
"בית דגן קרינה","04/05/2023 11:10","911"
"בית דגן קרינה","04/05/2023 11:20","924"
"בית דגן קרינה","04/05/2023 11:30","937"
"בית דגן קרינה","04/05/2023 11:40","944"
"בית דגן קרינה","04/05/2023 11:50","949"
"בית דגן קרינה","04/05/2023 12:00","953"
"בית דגן קרינה","04/05/2023 12:10","966"
"בית דגן קרינה","04/05/2023 12:20","975"
"בית דגן קרינה","04/05/2023 12:30","980"
"בית דגן קרינה","04/05/2023 12:40","986"
"בית דגן קרינה","04/05/2023 12:50","985"
"בית דגן קרינה","04/05/2023 13:00","982"
"בית דגן קרינה","04/05/2023 13:10","978"
"בית דגן קרינה","04/05/2023 13:20","976"
"בית דגן קרינה","04/05/2023 13:30","969"
"בית דגן קרינה","04/05/2023 13:40","960"
"בית דגן קרינה","04/05/2023 13:50","952"
"בית דגן קרינה","04/05/2023 14:00","942"
"בית דגן קרינה","04/05/2023 14:10","927"
"בית דגן קרינה","04/05/2023 14:20","909"
"בית דגן קרינה","04/05/2023 14:30","895"
"בית דגן קרינה","04/05/2023 14:40","876"
"בית דגן קרינה","04/05/2023 14:50","850"
"בית דגן קרינה","04/05/2023 15:00","827"
"בית דגן קרינה","04/05/2023 15:10","802"
"בית דגן קרינה","04/05/2023 15:20","774"
"בית דגן קרינה","04/05/2023 15:30","746"
"בית דגן קרינה","04/05/2023 15:40","716"
"בית דגן קרינה","04/05/2023 15:50","687"
"בית דגן קרינה","04/05/2023 16:00","658"
"בית דגן קרינה","04/05/2023 16:10","624"
"בית דגן קרינה","04/05/2023 16:20","593"
"בית דגן קרינה","04/05/2023 16:30","561"
"בית דגן קרינה","04/05/2023 16:40","525"
"בית דגן קרינה","04/05/2023 16:50","490"
"בית דגן קרינה","04/05/2023 17:00","453"
"בית דגן קרינה","04/05/2023 17:10","414"
"בית דגן קרינה","04/05/2023 17:20","375"
"בית דגן קרינה","04/05/2023 17:30","339"
"בית דגן קרינה","04/05/2023 17:40","302"
"בית דגן קרינה","04/05/2023 17:50","264"
"בית דגן קרינה","04/05/2023 18:00","227"
"בית דגן קרינה","04/05/2023 18:10","192"
"בית דגן קרינה","04/05/2023 18:20","158"
"בית דגן קרינה","04/05/2023 18:30","123"
"בית דגן קרינה","04/05/2023 18:40","91"
"בית דגן קרינה","04/05/2023 18:50","54"
"בית דגן קרינה","04/05/2023 19:00","29"
"בית דגן קרינה","04/05/2023 19:10","16"
"בית דגן קרינה","04/05/2023 19:20","5"
"בית דגן קרינה","04/05/2023 19:30","0"
"בית דגן קרינה","04/05/2023 19:40","0"
"בית דגן קרינה","04/05/2023 19:50","0"
